TF_name	TU_name	effect	evidence	confidence
ArcA	dpiBA[dpiBp]	+	[AIBSCS, AIFS, APPH, GEA, ICWHO, LTED, PAGTSBP, AIBSCS]	STRONG
ArcA	fadBA[fadBp]	-	[AIFS, APPH, GEA, PAGTSBP, AIBSCS, BPP, GEA]	STRONG
ArcA	fadD-sroD[fadDp]	-	[EME, AIFS, APPH, GEA, BTEI, AIBSCS, AIBSPD, BPP, CCE]	STRONG
ArcA	fadE[fadEp]	-	[EME, AIFS, APPH, GEA, AISGDTU, AIBSCS, AIBSPD, BPP, CCE, GEA]	STRONG
ArcA	fadH[fadHp]	-	[EME, AIFS, APPH, GEA, ICWHO, AIBSPD, APIORCISFBSCS, CCE, GEA]	STRONG
ArcA	fadIJ[fadIp]	-	[AIFS, APPH, GEA, AIBSCS, BPP, GEA]	STRONG
ArcA	fadL[fadLp]	-	[AIFS, APPH, GEA, IHBCE, AIBSCS, BPP]	STRONG
ArcA	fnr[fnrp]	-	[AIFS, APPH, GEA, BPP, GEA, IGI]	STRONG
ArcA	focA-pflB[focAp1]	+	[AIFS, APPH, GEA, LTED, APIORCISFBSCS, GEA, EME, AIBSPD, CCE, BPP]	STRONG
ArcA	focA-pflB[focAp2]	+	[AIFS, APPH, GEA, LTED, APIORCISFBSCS, GEA]	STRONG
ArcA	fumA[fumAp]	-	[AIFS, APPH, GEA, ICWHO, LTED, BPP, GEA, IGI]	STRONG
ArcA	fumAC[fumAp]	-	[AIFS, APPH, GEA, ITCR, BPP, GEA, IGI]	STRONG
ArcA	fumB[fumBp]	+	[AIFS, APPH, GEA, BTEI, LTED, BPP, GEA, IGI]	STRONG
ArcA	fumC[fumCp]	-	[AIFS, APPH, GEA, BPP, GEA, IGI]	STRONG
ArcA	gadAX[gadAp]	+	[AIFS, APPH, GEA, BTEI, LTED, BPP, GEA, IGI]	STRONG
ArcA	gadAX[gadAp2]	+	[AIFS, APPH, GEA, BTEI, LTED, BPP, GEA, IGI]	STRONG
ArcA	gadE[gadEp1]	+	[AIFS, APPH, GEA, BPP, GEA, IGI]	STRONG
ArcA	gadE[gadEp3]	+	[AIFS, APPH, GEA, BPP, GEA, IGI]	STRONG
ArcA	gatYZABCD[gatYp]	-	[AIFS, APPH, GEA, BTEI, BPP, GEA, IGI]	STRONG
ArcA	glcDEFGBA[glcDp]	-	[AIFS, APPH, GEA, LTED, AIBSCS, AIBSPD, BPP, CCE, GEA]	STRONG
ArcA	glpABC[glpABCp]	-	[AIFS, APPH, GEA, BTEI, PM, BPP, GEA, IGI]	STRONG
ArcA	glpD[glpDp]	-	[AIFS, APPH, GEA, BPP, GEA, IGI]	STRONG
ArcA	gltA[gltAp1]	-	[EME, AIFS, APPH, GEA, LTED, AIBSPD, APIORCISFBSCS, BCE, CCE, GEA]	STRONG
ArcA	grcA[grcAp1]	+	[AIFS, APPH, GEA, BTEI, APIORCISFBSCS, GEA]	STRONG
ArcA	hemA-prfA-prmC[hemAp1]	+	[AIFS, APPH, GEA, LTED, BPP, GEA, IGI]	STRONG
ArcA	hyaABCDEF[hyaAp]	+	[AIFS, APPH, GEA, BTEI, ITCR, APIORCISFBSCS, GEA, BPP]	STRONG
ArcA	hyaABCDEF[hyaAp2]	+	[AIFS, APPH, GEA, BTEI, ITCR, APIORCISFBSCS, GEA, BPP]	STRONG
ArcA	hybOABCDEFG[hybOp1]	-	[AIFS, APPH, GEA, IEP, ITCR, PM, APIORCISFBSCS, GEA]	STRONG
ArcA	icd[icdAp1]	-	[AIFS, APPH, GEA, APIORCISFBSCS, BPP, GEA, EME, AIBSPD, CCE]	STRONG
ArcA	iraM[iraMp]	+	[AIFS, APPH, GEA, BTEI, ICWHO, AIBSCS]	STRONG
ArcA	lldPRD[lldPp]	-	[AIFS, APPH, GEA, ITCR, AIBSCS, APIORCISFBSCS, BPP, GEA]	STRONG
ArcA	lpdA[lpdAp]	-	[EME, AIFS, APPH, GEA, LTED, AIBSCS, AIBSPD, BPP, CCE, GEA]	STRONG
ArcA	mdh[mdhp1]	-	[AIFS, APPH, GEA, AISGDTU, BCE, GEA]	STRONG
ArcA	moeAB[moeAp]	+	[AIFS, APPH, GEA, BPP, GEA]	STRONG
ArcA	ndh[ndhp]	-	[AIFS, APPH, GEA, AIBSCS, GEA]	STRONG
ArcA	nuoABCEFGHIJKLMN[nuoAp2]	-	[AIFS, APPH, GEA, BTEI, BCE, GEA, SM]	STRONG
ArcA	ompW[ompWp]	-	[AIFS, APPH, GEA, AISGDTU, AIBSCS, BPP, GEA]	STRONG
ArcA	oppABCDF[oppAp]	-	[AIFS, APPH, GEA, ITCR, BPP, GEA, IGI]	STRONG
ArcA	ptsG[ptsGp1]	-	[AIFS, APPH, GEA, BTEI, BPP, GEA]	STRONG
ArcA	puuAP[puuAp]	-	[AIFS, APPH, GEA, ICWHO, LTED, AIBSCS, GEA]	STRONG
ArcA	puuDRCBE[puuDp]	-	[AIBSCS, AIFS, APPH, GEA, ICWHO, LTED, AIBSCS, GEA]	STRONG
ArcA	rhaT[rhaTp]	-	[AIFS, APPH, GEA, LTED, AIBSCS, GEA]	STRONG
ArcA	rmf[rmfp]	-	[AIFS, APPH, GEA, BTEI, ICWHO, BPP, GEA, IGI]	STRONG
ArcA	rpoS[rpoSp]	-	[AIFS, APPH, GEA, PM, BPP, GEA]	STRONG
ArcA	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ[rpsJp]	-	[AIFS, APPH, GEA, TAS, BPP, GEA, IGI]	STRONG
ArcA	rsd[rsdp2]	-	[AIFS, APPH, GEA, ICWHO, BPP, GEA, IGI]	STRONG
ArcA	rutABCDEFG[rutAp]	+	[AIFS, APPH, GEA, PAGTSBP, AIBSCS, GEA]	STRONG
ArcA	sdhCDAB-sucABCD-sdhX[sdhCp]	+	[AIFS, APPH, GEA, LTED, BPP, GEA, APIORCISFBSCS]	STRONG
ArcA	sodA[sodAp]	-	[AIFS, APPH, GEA, BTEI, BCE, AIBSCS, APIORCISFBSCS]	STRONG
ArcA	ssb[ssbp2]	-	[AIFS, APPH, GEA, BTEI, APIORCISFBSCS, BPP, GEA]	STRONG
ArcA	ssb[ssbp1]	-	[AIFS, APPH, GEA, BTEI, APIORCISFBSCS, BPP, GEA]	STRONG
ArcA	ssb[ssbp3]	-	[AIFS, APPH, GEA, APIORCISFBSCS, BPP, GEA]	STRONG
ArcA	sucAB[sucAp]	-	[AIFS, APPH, GEA, BTEI, BPP, GEA, IGI]	STRONG
